Time,Pleth
01:57.0,-111
01:57.0,-107
01:57.0,-104
01:57.1,-99
01:57.1,-96
01:57.1,-91
01:57.1,-85
01:57.2,-82
01:57.2,-78
01:57.2,-75
01:57.2,-74
01:57.2,-83
01:57.2,-108
01:57.3,-144
01:57.3,-177
01:57.3,-202
01:57.3,-217
01:57.4,-222
01:57.4,-217
01:57.4,-207
01:57.4,-195
01:57.4,-181
01:57.5,-168
01:57.5,-156
01:57.5,-143
01:57.5,-132
01:57.5,-121
01:57.5,-113
01:57.6,-108
01:57.6,-106
01:57.6,-105
01:57.6,-103
01:57.6,-99
01:57.7,-95
01:57.7,-90
01:57.7,-83
01:57.7,-78
01:57.7,-71
01:57.8,-64
01:57.8,-59
01:57.8,-55
01:57.8,-53
01:57.8,-56
01:57.9,-58
01:57.9,-60
01:57.9,-61
01:57.9,-59
01:58.0,-56
01:58.0,-51
01:58.0,-46
01:58.0,-41
01:58.0,-37
01:58.0,-48
01:58.1,-76
01:58.1,-115
01:58.1,-151
01:58.1,-181
01:58.2,-199
01:58.2,-207
01:58.2,-207
01:58.2,-200
01:58.2,-191
01:58.2,-182
01:58.3,-172
01:58.3,-162
01:58.3,-151
01:58.3,-139
01:58.3,-127
01:58.4,-117
01:58.4,-113
01:58.4,-111
01:58.4,-112
01:58.4,-112
01:58.5,-108
01:58.5,-104
01:58.5,-99
01:58.5,-93
01:58.6,-86
01:58.6,-79
01:58.6,-72
01:58.6,-65
01:58.6,-61
01:58.6,-57
01:58.7,-57
01:58.7,-59
01:58.7,-59
01:58.7,-58
01:58.7,-55
01:58.8,-48
01:58.8,-41
01:58.8,-32
01:58.8,-27
01:58.8,-34
01:58.9,-58
01:58.9,-92
01:58.9,-123
01:58.9,-143
01:59.0,-152
01:59.0,-147
01:59.0,-133
01:59.0,-116
01:59.0,-100
01:59.0,-86
01:59.1,-73
01:59.1,-63
01:59.1,-55
01:59.1,-44
01:59.2,-36
01:59.2,-31
01:59.2,-33
01:59.2,-36
01:59.2,-37
01:59.2,-37
01:59.3,-34
01:59.3,-30
01:59.3,-23
01:59.3,-17
01:59.4,-11
01:59.4,-7
01:59.4,-3
01:59.4,0
01:59.4,2
01:59.4,4
01:59.5,4
01:59.5,5
01:59.5,3
01:59.5,2
01:59.5,2
01:59.6,1
01:59.6,1
01:59.6,0
01:59.6,-4
01:59.6,-22
01:59.7,-62
01:59.7,-107
01:59.7,-143
01:59.7,-164
01:59.7,-171
01:59.8,-170
01:59.8,-161
01:59.8,-147
01:59.8,-131
01:59.9,-116
01:59.9,-103
01:59.9,-91
01:59.9,-78
01:59.9,-66
01:59.9,-58
02:00.0,-55
02:00.0,-58
02:00.0,-63
02:00.0,-67
02:00.0,-71
02:00.0,-70
02:00.1,-66
02:00.1,-60
02:00.1,-53
02:00.2,-47
02:00.2,-41
02:00.2,-37
02:00.2,-33
02:00.2,-32
02:00.2,-33
02:00.3,-32
02:00.3,-33
02:00.3,-33
02:00.3,-34
02:00.3,-35
02:00.4,-39
02:00.4,-56
02:00.4,-91
02:00.4,-135
02:00.5,-170
02:00.5,-192
02:00.5,-201
02:00.5,-200
02:00.5,-188
02:00.5,-173
02:00.5,-156
02:00.6,-140
02:00.6,-124
